holder,buy_url,route,work_id,title,artist,year,system,phase,flag,master_source_TO_FILL,master_format_TO_FILL
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-302,Sarangi The Voice of a Hundred Colors,Ram Narayan,1968,SYS-019,early,PD-work,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-303,Music of Bulgaria,Nonesuch Explorer various,1970,SYS-019,early,PD-work,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-037,Schall,Horacio Vaggione,1994,SYS-001,diffusion,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-108,Songes,Jean-Claude Risset,1979,SYS-005,peak,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-120,Cinq etudes de bruits,Pierre Schaeffer,1948,SYS-006,early,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-121,Symphonie pour un homme seul,Pierre Schaeffer & Pierre Henry,1950,SYS-006,early,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-122,Reflets,Ivo Malec,1961,SYS-006,early,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-127,Heterozygote,Luc Ferrari,1964,SYS-006,peak,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-129,L'Oeil ecoute,Bernard Parmegiani,1970,SYS-006,peak,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-130,L'Experience acoustique,Francois Bayle,1972,SYS-006,peak,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-132,Requiem,Michel Chion,1973,SYS-006,peak,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-136,Erospheres,Francois Bayle,1980,SYS-006,peak,clean,,
INA-GRM,https://portraitsgrm.bandcamp.com,Bandcamp · also Les presses du réel,REC-140,Presque rien No.1,Luc Ferrari,1970,SYS-007,early,clean,,
self-released,,Direct from the artist,REC-034,Lexikon-Sonate,Karlheinz Essl,1992,SYS-001,diffusion,clean,,
self-released,,Direct from the artist,REC-039,Audible Ecosystemics n.2,Agostino Di Scipio,1997,SYS-001,diffusion,clean,,
self-released,,Direct from the artist,REC-041,SuperCollider stochastic-pattern performances,Alberto de Campo,2005,SYS-001,diffusion,uncertain-details,,
self-released,,Direct from the artist,REC-095,Graffiti Composition,Christian Marclay led by Elliott Sharp,2006,SYS-004,revival,clean,,
self-released,,Direct from the artist,REC-134,Red Bird,Trevor Wishart,1977,SYS-006,peak,clean,,
self-released,,Direct from the artist,REC-155,Sounds from Dangerous Places Vol.1,Peter Cusack,2012,SYS-007,diffusion,clean,,
self-released,,Direct from the artist,REC-321,Kikoeru,Akio Suzuki,1995,SYS-020,revival,uncertain-details,,
Lovely Music,https://lovelymusic.bandcamp.com,Bandcamp · also Forced Exposure,REC-032,Rhythms,Joel Chadabe,1981,SYS-001,peak,clean,,
Lovely Music,https://lovelymusic.bandcamp.com,Bandcamp · also Forced Exposure,REC-142,A Sound Map of the Hudson River,Annea Lockwood,1982,SYS-007,peak,clean,,
Lovely Music,https://lovelymusic.bandcamp.com,Bandcamp · also Forced Exposure,REC-148,A Sound Map of the Danube,Annea Lockwood,2005,SYS-007,diffusion,clean,,
Lovely Music,https://lovelymusic.bandcamp.com,Bandcamp · also Forced Exposure,REC-202,Automatic Writing,Robert Ashley,1979,SYS-010,peak,clean,,
Lovely Music,https://lovelymusic.bandcamp.com,Bandcamp · also Forced Exposure,REC-204,Perfect Lives,Robert Ashley,1983,SYS-010,peak,clean,,
Lovely Music,https://lovelymusic.bandcamp.com,Bandcamp · also Forced Exposure,REC-316,Music on a Long Thin Wire,Alvin Lucier,1980,SYS-020,peak,clean,,
Smithsonian Folkways,https://folkways.si.edu,Own shop,REC-279,Uyghur Muqam Ensemble Silk Road survey,Xinjiang Uyghur Muqam Ensemble,2005,SYS-013,revival,PD-work,,
Smithsonian Folkways,https://folkways.si.edu,Own shop,REC-280,Borderlands Music of Central Asia Vol. 10,Wu Man and Master Musicians from the Silk Route,2011,SYS-013,diffusion,clean,,
Smithsonian Folkways,https://folkways.si.edu,Own shop,REC-289,Rhythms of Rapture Sacred Musics of Haitian Vodou,various,1995,SYS-015,peak,PD-work,,
Smithsonian Folkways,https://folkways.si.edu,Own shop,REC-301,Jean Ritchie and Doc Watson at Folk City,Jean Ritchie & Doc Watson,1963,SYS-019,revival,clean,,
Smithsonian Folkways,https://folkways.si.edu,Own shop,REC-309,Mongolia Traditional Music,UNESCO Collection various,1991,SYS-019,revival,PD-work,,
Touch,https://touch333.bandcamp.com,Bandcamp — the label's own stated preference,REC-149,4 Rooms,Jacob Kirkegaard,2006,SYS-007,diffusion,clean,,
Touch,https://touch333.bandcamp.com,Bandcamp — the label's own stated preference,REC-150,Energy Field,Jana Winderen,2010,SYS-007,diffusion,clean,,
Touch,https://touch333.bandcamp.com,Bandcamp — the label's own stated preference,REC-240,Touch Works for Hurdy Gurdy and Voice,Phill Niblock,2001,SYS-012,diffusion,clean,,
Touch,https://touch333.bandcamp.com,Bandcamp — the label's own stated preference,REC-322,+/- the infinite between 0 and 1,Ryoji Ikeda,1996,SYS-020,peak,clean,,
Touch,https://touch333.bandcamp.com,Bandcamp — the label's own stated preference,REC-324,Labyrinthitis,Jacob Kirkegaard,2008,SYS-020,revival,clean,,
WERGO,https://www.schott-music.com/en/brands/wergo,Schott shop · also Presto,REC-030,Coglugtobusisletmesi,Clarence Barlow,1975,SYS-001,peak,uncertain-details,,
WERGO,https://www.schott-music.com/en/brands/wergo,Schott shop · also Presto,REC-062,Reak,Isang Yun,1966,SYS-002,diffusion,clean,,
WERGO,https://www.schott-music.com/en/brands/wergo,Schott shop · also Presto,REC-215,Artikulation with Wehinger Horpartitur,Gyorgy Ligeti / Rainer Wehinger,1958,SYS-011,peak,clean,,
WERGO,https://www.schott-music.com/en/brands/wergo,Schott shop · also Presto,REC-216,Five Piano Pieces for David Tudor,Sylvano Bussotti,1959,SYS-011,peak,clean,,
WERGO,https://www.schott-music.com/en/brands/wergo,Schott shop · also Presto,REC-217,Mobile fur Shakespeare,Roman Haubenstock-Ramati,1960,SYS-011,peak,uncertain-details,,
Important Records,https://imprec.bandcamp.com,Bandcamp,REC-152,Five Electrical Walks,Christina Kubisch,2011,SYS-007,diffusion,clean,,
Important Records,https://imprec.bandcamp.com,Bandcamp,REC-233,Adnos I-III,Eliane Radigue,1974,SYS-012,early,clean,,
Important Records,https://imprec.bandcamp.com,Bandcamp,REC-242,Through Glass Panes,Ellen Fullman,2011,SYS-012,peak,clean,,
Important Records,https://imprec.bandcamp.com,Bandcamp,REC-244,Live at Issue Project Room,Catherine Christer Hennix,2016,SYS-012,revival,clean,,
Ocora,https://www.qobuz.com,Qobuz lossless · Presto for CD,REC-264,Wasla d'Alep Muwashshah Qultu Lamma,Sabri Moudallal,1988,SYS-013,peak,PD-work,,
Ocora,https://www.qobuz.com,Qobuz lossless · Presto for CD,REC-273,Uzbekistan Shashmaqam,Munojot Yulchieva & Ensemble Shavkat Mirzaev,1995,SYS-013,peak,PD-work,,
Ocora,https://www.qobuz.com,Qobuz lossless · Presto for CD,REC-305,Sardaigne launeddas,Luigi Lai & Aurelio Porcu,1984,SYS-019,revival,PD-work,,
Ocora,https://www.qobuz.com,Qobuz lossless · Presto for CD,REC-311,Iran Kurdish Tanbur Music of the Ahl-e Haqq,various,1995,SYS-019,revival,PD-work,,
RVNG Intl,https://rvng.bandcamp.com,Bandcamp,REC-043,Platform,Holly Herndon,2015,SYS-001,diffusion,uncertain-details,,
RVNG Intl,https://rvng.bandcamp.com,Bandcamp,REC-044,EARS,Kaitlyn Aurelia Smith,2016,SYS-001,revival,clean,,
RVNG Intl,https://rvng.bandcamp.com,Bandcamp,REC-192,Breadwoman & Other Tales,Anna Homler,1985,SYS-009,diffusion,clean,,
RVNG Intl,https://rvng.bandcamp.com,Bandcamp,REC-246,FRKWYS Vol. 14 Nue,Tashi Wada with Yoshi Wada,2018,SYS-012,revival,clean,,
Arista,,route not yet researched,REC-088,Composition 6E,Anthony Braxton,1974,SYS-004,peak,clean,,
Arista,,route not yet researched,REC-089,Composition 76 Version One,Anthony Braxton,1977,SYS-004,peak,clean,,
Arista,,route not yet researched,REC-090,Composition 76 Version Two,Anthony Braxton,1977,SYS-004,peak,clean,,
Empreintes DIGITALes,https://electrocd.com,electroCD — 24-bit FLAC,REC-137,Klang,Jonty Harrison,1982,SYS-006,peak,clean,,
Empreintes DIGITALes,https://electrocd.com,electroCD — 24-bit FLAC,REC-138,Wind Chimes,Denis Smalley,1987,SYS-006,peak,clean,,
Empreintes DIGITALes,https://electrocd.com,electroCD — 24-bit FLAC,REC-139,Voi(rex),Annette Vande Gorne,1993,SYS-006,diffusion,clean,,
Experimental Intermedia,https://experimentalintermedia.org,Forced Exposure / Soundohm,REC-235,Nothin to Look at Just a Record,Phill Niblock,1982,SYS-012,peak,clean,,
Experimental Intermedia,https://experimentalintermedia.org,Forced Exposure / Soundohm,REC-238,Kyema Intermediate States,Eliane Radigue,1990,SYS-012,peak,clean,,
Experimental Intermedia,https://experimentalintermedia.org,Forced Exposure / Soundohm,REC-239,Trilogie de la Mort,Eliane Radigue,1998,SYS-012,peak,clean,,
Gruenrekorder,https://gruenrekorder.de,Own shop · Bandcamp,REC-153,Swiss Mountain Transport Systems,Ernst Karel,2011,SYS-007,diffusion,clean,,
Gruenrekorder,https://gruenrekorder.de,Own shop · Bandcamp,REC-154,Landscape in Metamorphoses,Budhaditya Chattopadhyay,2011,SYS-007,diffusion,uncertain-details,,
Gruenrekorder,https://gruenrekorder.de,Own shop · Bandcamp,REC-157,F.Guyana,Marc Namblard,2015,SYS-007,diffusion,uncertain-details,,
Kalan Muzik,https://www.qobuz.com,Qobuz — no own store,REC-258,Nihavent Taksim Saz Semaisi,Necdet Yasar,1973,SYS-013,peak,uncertain-details,,
Kalan Muzik,https://www.qobuz.com,Qobuz — no own store,REC-281,Ottoman court makam revival concert,Bezmara Ensemble,2012,SYS-013,revival,uncertain-details,,
Kalan Muzik,https://www.qobuz.com,Qobuz — no own store,REC-298,Tanburi Cemil Bey taksim recordings,Tanburi Cemil Bey,1910,SYS-019,early,PD-work,,
Planet Mu,https://planetmu.bandcamp.com,Bandcamp,REC-075,Black Origami,Jlin,2017,SYS-003,revival,clean,,
Planet Mu,https://planetmu.bandcamp.com,Bandcamp,REC-118,Contraposition,Rian Treanor,2018,SYS-005,diffusion,uncertain-details,,
Planet Mu,https://planetmu.bandcamp.com,Bandcamp,REC-296,Legacy,RP Boo,2013,SYS-015,diffusion,clean,,
Stockhausen-Verlag,https://stockhausencds.com,"Physical only, direct from the Verlag",REC-028,Klavierstuck XI,Karlheinz Stockhausen,1956,SYS-001,early,clean,,
Stockhausen-Verlag,https://stockhausencds.com,"Physical only, direct from the Verlag",REC-050,Kreuzspiel,Karlheinz Stockhausen,1951,SYS-002,peak,clean,,
Stockhausen-Verlag,https://stockhausencds.com,"Physical only, direct from the Verlag",REC-055,Gruppen,Karlheinz Stockhausen,1955,SYS-002,peak,clean,,
Table of the Elements,https://tableoftheelements.bandcamp.com,Bandcamp — label relaunched 2025,REC-171,Guitar Trio,Rhys Chatham,1977,SYS-008,peak,clean,,
Table of the Elements,https://tableoftheelements.bandcamp.com,Bandcamp — label relaunched 2025,REC-229,Four Violins,Tony Conrad,1964,SYS-012,early,clean,,
Table of the Elements,https://tableoftheelements.bandcamp.com,Bandcamp — label relaunched 2025,REC-232,Outside the Dream Syndicate,Tony Conrad with Faust,1972,SYS-012,early,clean,,
raster-noton,https://raster-media.net,raster sells WAV · noton.info separately since 2017,REC-225,datamatics,Ryoji Ikeda,2006,SYS-011,diffusion,clean,,
raster-noton,https://raster-media.net,raster sells WAV · noton.info separately since 2017,REC-226,test pattern,Ryoji Ikeda,2008,SYS-011,diffusion,clean,,
raster-noton,https://raster-media.net,raster sells WAV · noton.info separately since 2017,REC-227,unitxt,Carsten Nicolai (Alva Noto),2008,SYS-011,diffusion,clean,,
Columbia Masterworks,,route not yet researched,REC-065,In C,Terry Riley,1968,SYS-003,early,clean,,
Columbia Masterworks,,route not yet researched,REC-283,A Rainbow in Curved Air,Terry Riley,1969,SYS-015,early,clean,,
Naxos,https://www.naxos.com,"Opera Compact Disc, Athens is the Greek distributor",REC-045,Canti di Prigionia,Luigi Dallapiccola,1938,SYS-002,early,clean,,
Naxos,https://www.naxos.com,"Opera Compact Disc, Athens is the Greek distributor",REC-060,Violin Concerto Op. 30,Alberto Ginastera,1963,SYS-002,diffusion,clean,,
Paradigm Discs,https://stalk.net/paradigm,Bandcamp for 16 of 42 — rest out of print,REC-190,Relations & Assimilations,Lily Greenham,1975,SYS-009,peak,clean,,
Paradigm Discs,https://stalk.net/paradigm,Bandcamp for 16 of 42 — rest out of print,REC-219,Oramics compositions,Daphne Oram,1965,SYS-011,peak,clean,,
Unseen Worlds,https://unseenworlds.com,Own store · Bandcamp,REC-031,The Expanding Universe,Laurie Spiegel,1980,SYS-001,peak,clean,,
Unseen Worlds,https://unseenworlds.com,Own store · Bandcamp,REC-107,Patchwork,Laurie Spiegel,1976,SYS-005,peak,clean,,
Warp Records,https://bleep.com,"Bleep — FLAC, Warp-owned",REC-040,Confield,Autechre,2001,SYS-001,diffusion,clean,,
Warp Records,https://bleep.com,"Bleep — FLAC, Warp-owned",REC-114,exai,Autechre,2013,SYS-005,diffusion,clean,,
1750 Arch Records,,route not yet researched,REC-187,Just,Charles Amirkhanian,1972,SYS-009,peak,clean,,
Apollo/Superior Viaduct,,route not yet researched,REC-071,The Long String Instrument,Ellen Fullman,1985,SYS-003,diffusion,clean,,
Avant/Lovely Music,,route not yet researched,REC-109,Voyager,George Lewis,1993,SYS-005,diffusion,clean,,
Basic Channel,,route not yet researched,REC-286,Q-Loop,Basic Channel,1994,SYS-015,early,clean,,
Bell Labs,,route not yet researched,REC-101,Bicycle Built for Two,Max Mathews & John R. Pierce,1961,SYS-005,early,clean,,
Black Truffle,,route not yet researched,REC-315,Bird and Person Dyning,Alvin Lucier,1975,SYS-020,peak,clean,,
Bridge/CRI,https://bridgerecords.bandcamp.com,Bridge on Bandcamp · CRI titles now NWCR via New World,REC-063,Synchronisms No. 6,Mario Davidovsky,1970,SYS-002,diffusion,clean,,
CBS/Sony,,route not yet researched,REC-164,Poppy Nogood and the Phantom Band,Terry Riley,1969,SYS-008,early,clean,,
Chatham Square/Nonesuch,,route not yet researched,REC-066,Music in Fifths,Philip Glass,1969,SYS-003,early,clean,,
Connoisseur Society,,route not yet researched,REC-299,Music of India Morning and Evening Ragas,Ali Akbar Khan,1955,SYS-019,early,PD-work,,
Deutsche Grammophon,,route not yet researched,REC-086,The Great Learning Paragraph 7,Cornelius Cardew / Scratch Orchestra,1971,SYS-004,peak,clean,,
ECM New Series,,route not yet researched,REC-285,Dolmen Music,Meredith Monk,1981,SYS-015,diffusion,clean,,
EG Records,,route not yet researched,REC-166,No Pussyfooting,Robert Fripp & Brian Eno,1973,SYS-008,peak,clean,,
EG Records/Obscure,,route not yet researched,REC-168,Discreet Music,Brian Eno,1975,SYS-008,peak,clean,,
Editions EG/Point Music,,route not yet researched,REC-068,Jesus' Blood Never Failed Me Yet,Gavin Bryars,1971,SYS-003,peak,clean,,
Errant Bodies Press,,route not yet researched,REC-092,Anagram for Strings,Yasunao Tone realized by S.E.M. Ensemble,1991,SYS-004,early,clean,,
Fylkingen Records,,route not yet researched,REC-185,Verbal Brainwash,Ake Hodell,1965,SYS-009,peak,clean,,
M-Plant/Axis,,route not yet researched,REC-287,Minimal Nation,Robert Hood,1994,SYS-015,peak,clean,,
National Film Board of Canada,,route not yet researched,REC-213,Dots,Norman McLaren,1940,SYS-011,early,clean,,
New Albion,,route not yet researched,REC-320,Deep Listening,Pauline Oliveros Stuart Dempster Panaiotis,1989,SYS-020,peak,clean,,
Ocora/Radio France,,route not yet researched,REC-069,Anthologie des Pygmees Aka,Aka musicians rec. Simha Arom,1978,SYS-003,early,PD-work,,
RCA / Wergo,,route not yet researched,REC-186,Stripsody,Cathy Berberian,1966,SYS-009,peak,clean,,
Ricordi/Stradivarius,,route not yet researched,REC-198,La fabbrica illuminata,Luigi Nono,1964,SYS-010,peak,clean,,
Rolling Stones Records,,route not yet researched,REC-282,Brian Jones Presents the Pipes of Pan at Joujouka,Master Musicians of Jajouka,1968,SYS-015,early,PD-work,,
Shandar/Aguirre,,route not yet researched,REC-167,Strumming Music,Charlemagne Palestine,1974,SYS-008,peak,clean,,
Sub Rosa,,route not yet researched,REC-183,Junk permutation poems,Brion Gysin,1962,SYS-009,peak,clean,,
Table of Elements/Drag City,,route not yet researched,REC-070,Nodal Excitation,Arnold Dreyblatt,1982,SYS-003,diffusion,clean,,
Virgin/Nonesuch,,route not yet researched,REC-284,Music in Twelve Parts,Philip Glass,1974,SYS-015,peak,clean,,
Wergo/DAAD,,route not yet researched,REC-181,Laut und Luise,Ernst Jandl,1957,SYS-009,peak,clean,,
public domain / Wergo,,route not yet researched,REC-179,Ursonate,Kurt Schwitters,1932,SYS-009,early,PD-work,,
