work_id,title,artist,route,url,source,format,notes
REC-055,Gruppen,Karlheinz Stockhausen,presto-alt,https://www.prestomusic.com/classical/products/8007206--stockhausen-gruppen,Presto Music,download,Berliner Philharmoniker/Abbado — not the Stockhausen-Verlag edition. Also seen: DG 4477612 'Gruppen etc.' (/products/7930895) and BMC Eotvos/WDR (/products/7970946); Presto works page works/31277 lists all recordings.
REC-060,Violin Concerto Op. 30,Alberto Ginastera,presto-alt,https://www.prestomusic.com/classical/products/9325438--eclipse,Presto Music,"CD, download, Hi-Res download","Alt recording: Hilary Hahn, Frankfurt Radio Symphony, Orozco-Estrada; BBC Music Magazine Award winner 2023. No Naxos recording of the Violin Concerto on Presto (works page lists 5 recordings); also available: Accardo on Dynamic S2042 download (product 7969272) and Eclipse 2LP vinyl (product 9325439)"
REC-061,Philomel,Milton Babbitt,presto-exact,https://www.prestomusic.com/classical/products/8043238--milton-babbitt-philomel,Presto Music,CD; download (FLAC/MP3),"Tracklist verified on Presto: Philomel (18:53), Bethany Beardslee — the classic recording; also Phonemena, Post-Partitions, Reflections. CD on Independence Day offer (~30% off) until 2 Sep 2026; 2 in stock."
REC-062,Reak,Isang Yun,presto-exact,https://www.prestomusic.com/classical/products/9535412--yun-loyang-gasa-reak-shao-yang-yin-tuyaux-sonores,Presto Music,Download,"Contains Réak for Orchestra — SWF-Sinfonieorchester Baden-Baden / Ernest Bour (premiere-era Wergo recording); 2023 Wergo reissue, download only"
REC-063,Synchronisms No. 6,Mario Davidovsky,presto-alt,https://www.prestomusic.com/classical/products/7943631--the-music-of-mario-davidovsky-volume-3,Presto Music,"CD, download (FLAC/MP3)","Synchronisms No. 6 for Piano and Electronic Sounds perf. Aleck Karis, 7:09 — 2006 Bridge recording, not the 1970 CRI original; NWCRL204 CRI reissue on Presto has only Synchronisms 1-3. Also on The American Innovator (Argo) and Secret Geometry (New World)"
REC-065,In C,Terry Riley,presto-alt,https://www.prestomusic.com/classical/products/8078383--riley-in-c,Presto Music,Download,"Original 1968 Columbia recording not found on Presto. Many alternative recordings exist; also seen on Presto: Maya Beiser x Terry Riley In C (Islandia IMR014, /classical/products/9594256), Shanghai Film Chinese Orchestra (Celestial Harmonies CH130262, /classical/products/8007937), Atma ACD22251 (/classical/products/7969538); work page /classical/works/2339--in-c/browse lists 3 pages of recordings."
REC-066,Music in Fifths,Philip Glass,presto-alt,https://www.prestomusic.com/classical/products/7932419--glass-music-in-fifths-two-pages,Presto Music,"CD, download","Bang on a Can All-Stars (Cantaloupe CA21016), not the 1969 Chatham Square recording; work available only as full-album download; no original Glass Ensemble recording found on Presto"
REC-067,Music from the Morning of the World: Ketjak,Balinese performers rec. David Lewiston,presto-alt,https://www.prestomusic.com/classical/products/7938316--kecak-from-bali,Presto Music,"CD, download (FLAC/ALAC/WAV, MP3)","The 1969 Nonesuch album and 'Golden Rain' are not on Presto. This Bridge CD is a full-length kecak (Ramayana) performance — Bridge's kecak recording widely credited to David Lewiston, though Presto's page does not name him. Celestial Harmonies 'The Music of Bali' (products/7964066) also has the trad. gamelan piece 'Ujan Mas (Golden Rain)' but no kecak."
REC-068,Jesus' Blood Never Failed Me Yet,Gavin Bryars,presto-exact,https://www.prestomusic.com/classical/products/8078117--gavin-bryars-jesus-blood-never-failed-me-yet,Presto Music,"CD, download (FLAC/MP3)",Remastered reissue of the original 1975 Obscure recording produced by Brian Eno; coupled with The Sinking of the Titanic. The 1993 Point/Decca extended version with Tom Waits is also on Presto as a download: https://www.prestomusic.com/classical/products/8019710--bryars-jesus-blood-never-failed-me-yet
REC-069,Anthologie des Pygmees Aka,Aka musicians rec. Simha Arom,presto-alt,https://www.prestomusic.com/classical/products/8893207--zentralafrika-songs-of-h,Presto Music,CD,"The 1978 Anthologie (C560171/72; 2016 reissue C561171-72) is NOT on Presto despite Ocora being stocked. This is a different Aka Pygmies collection on Ocora (truncated title verified externally as Chants de chasse, d'amour et de moquerie). CD EUR 19.89, on offer EUR 15.91, 3 in stock."
REC-070,Nodal Excitation,Arnold Dreyblatt,direct,https://arnolddreyblatt.bandcamp.com/album/nodal-excitation,Arnold Dreyblatt Bandcamp (Superior Viaduct reissue),digital + LP,Superior Viaduct reissue of the 1982 India Navigation LP on Dreyblatt's official Bandcamp; LP also at Soundohm (soundohm.com/product/nodal-excitation-lp).
REC-071,The Long String Instrument,Ellen Fullman,direct,https://ellenfullman-sv.bandcamp.com/album/the-long-string-instrument,Superior Viaduct Bandcamp (Ellen Fullman),digital,$8 digital (16-bit FLAC); Superior Viaduct LP reissue (2015) sold out on label site
REC-075,Black Origami,Jlin,direct,https://jlin.bandcamp.com/album/black-origami,Bandcamp (Planet Mu),Digital GBP 7.99 / CD GBP 6.99,Planet Mu-run official artist Bandcamp; CD stock low (4 copies at check); also listed at planet.mu/releases/black-origami
REC-082,For 1 2 or 3 People (Tudor realization),Christian Wolff,presto-alt,https://www.prestomusic.com/classical/products/7928596--christian-wolff-bread-and-roses,Presto Music,"CD, download (FLAC/MP3)","Work confirmed on Presto works page (works/83719): performed by Malcolm Goldstein (violin/voice) & Matthias Kaul. Works page lists 8 recordings incl. The Art of David Tudor Vol. 1 (New World NW80737-1, download) and edition rz Kompositionen 1950-1972 (2 CDs RZ1023/24) — closest to the New World label hint."
REC-083,For 1 2 or 3 People (Nelly Boyd realization),Christian Wolff,presto-alt,https://www.prestomusic.com/classical/products/7928596--christian-wolff-bread-and-roses,Presto Music,"CD, download",Alt recording: Malcolm Goldstein (violin/voice) & Matthias Kaul (percussion/voice/hurdy-gurdy). Original New World album not on Presto; works page lists 8 recordings of For 1 2 or 3 People incl. edition rz Kompositionen 1950-1972 2CD (RZ1023/24)
REC-086,The Great Learning Paragraph 7,Cornelius Cardew / Scratch Orchestra,presto-exact,https://www.prestomusic.com/classical/products/7924430--cardew-the-great-learning-etc,Presto Music,download (FLAC/MP3),"Tracklist verified: recorded Feb 1971, Chappell Studios London; Paragraph 2 (22:03) + Paragraph 7 (20:29) — this IS the 1971 DG recording. Also seen: DG Avantgarde Vinyl Series 180g remaster (4868215, products/9889739), pre-order, due 28 Aug 2026."
REC-088,Composition 6E,Anthony Braxton,presto-exact,https://www.prestomusic.com/jazz/products/8707702--3-compositions-of-new-jazz,Presto Music,"Download (FLAC/ALAC/WAV CD-quality, MP3)",The Delmark album itself in Presto Jazz; Anthony Braxton (saxophone); Composition 6E is on this album; no physical format listed
REC-089,Composition 76 Version One,Anthony Braxton,presto-exact,https://www.prestomusic.com/jazz/products/8456125--for-trio,Presto Music,"download (FLAC/MP3, album-only tracks)","Original 1978 Arista album, digital reissue; contains both NW-5-94 (Opus 76) versions incl. Version One (20:10). Opus 76 (20:10) also on The Essential Anthony Braxton - The Arista Years (8457729)"
REC-090,Composition 76 Version Two,Anthony Braxton,direct,https://www.qobuz.com/lu-de/album/for-trio-anthony-braxton/0886446537375,Qobuz,Lossless download 16-bit/44.1kHz,Arista/Legacy digital reissue of For Trio (2 tracks: NW-5-94 Opus 76 = Composition 76 Versions One and Two); switch Qobuz locale to your own store; also streaming on Spotify/Apple Music
REC-092,Anagram for Strings,Yasunao Tone realized by S.E.M. Ensemble,direct,https://www.forcedexposure.com/Catalog/tone-yasunao-musica-iconologos-cd/LCD.3041CD.html,Forced Exposure,CD,"No commercial recording of Anagram for Strings exists; the buyable documented Tone work is Musica Iconologos (Lovely Music LCD 3041, 1993), $11.50 at Forced Exposure with LOW STOCK (1-2 weeks); also listed at Soundohm; Errant Bodies book+CD appears out of print"
REC-095,Graffiti Composition,Christian Marclay led by Elliott Sharp,direct,https://christianmarclay1.bandcamp.com/album/graffiti-composition,Bandcamp (Dog W/A Bone),digital,"Official Bandcamp, $9.99 digital (MP3/FLAC). 2010 CD also in stock at Forced Exposure (DWAB.006CD)."
REC-101,Bicycle Built for Two,Max Mathews & John R. Pierce,secondhand,https://www.discogs.com/release/318560-Various-Music-From-Mathematics,Discogs,"vinyl LP (Decca DL 9103, 1962, mono)","Daisy Bell (Kelly/Lochbaum/Mathews) appears on the out-of-print Decca compilation 'Music from Mathematics'; the 'Voice of the Computer' (DL 710180) issue also long out of print. No official digital compilation found; free reference streams exist (Library of Congress, Internet Archive)."
REC-104,HPSCHD,Lejaren Hiller & John Cage,presto-alt,https://www.prestomusic.com/classical/products/8017790--harpsichord-recital-tiensuu-jukka-couperin-f-scarlatti-d-kouneva-p-tiensuu-j-salmenhaara-e-cage-the,Presto Music,download,"Only HPSCHD hit on Presto: contains Cage: HPSCHD Solo VII only (4:38 solo harpsichord excerpt), not the 1969 Cage/Hiller Nonesuch realization. Full work unavailable."
REC-106,Earth's Magnetic Field,Charles Dodge,secondhand,https://www.discogs.com/release/216538-Charles-Dodge-Earths-Magnetic-Field,Discogs marketplace,LP,Original 1970 Nonesuch LP (H-71250) only release; nothing on store.nonesuch.com despite route hint; World of Echo used copy sold (was GBP 18); free stream at archive.org/details/lp_earths-magnetic-field_charles-dodge
REC-107,Patchwork,Laurie Spiegel,direct,https://unseenworlds.com/products/laurie-spiegel-the-expanding-universe,Unseen Worlds (label shop),2CD / 3LP / digital,Patchwork confirmed on the expanded 2012/2018 edition tracklist; official Bandcamp alternative lauriespiegel.bandcamp.com/album/the-expanding-universe
REC-108,Songes,Jean-Claude Risset,presto-alt,https://www.prestomusic.com/classical/products/7977027--risset-songes,Presto Music,Download FLAC/MP3,"Wergo WER2013-50; tracklist includes Songes (9:12) plus Passages, Little Boy suite, Sud II-III; same tape work but Wergo edition, not the INA-GRM release"
REC-109,Voyager,George Lewis,secondhand,https://www.discogs.com/release/840882-George-E-Lewis-Voyager,Discogs,CD,"Avant AVAN 014 (Japan 1993) out of print; no digital reissue found (Avant catalogue not on Bandcamp/streaming for this title). Discogs marketplace copies ~$9-36, median ~$18.63."
REC-114,exai,Autechre,direct,https://bleep.com/release/41081-autechre-exai,Bleep (Warp's store),WAV 24-bit/44.1 + 16-bit + MP3; vinyl/CD,Official Warp outlet; downloads include 24-bit WAV. Also on artist Bandcamp: autechre.bandcamp.com/album/exai.
REC-118,Contraposition,Rian Treanor,direct,https://bleep.com/release/94241-rian-treanor-contraposition-ep,Bleep,24-bit WAV / FLAC / MP3 download,ARC07; downloads $6.49 (MP3) / $6.99 (16-bit WAV-FLAC) / $7.99 (24-bit WAV); the one-time 500-copy vinyl pressing is unavailable on Bleep; also sold on Boomkat; for vinyl go second-hand via Discogs
REC-120,Cinq etudes de bruits,Pierre Schaeffer,presto-exact,https://www.prestomusic.com/classical/products/8784718--pierre-schaeffer-loeuvre-musicale,Presto Music,3 CDs,Tracklist verified: CD1 opens with Cinq études de bruits (Les incunables 1948-1952); official INA-GRM edition of Schaeffer's own tape works
REC-121,Symphonie pour un homme seul,Pierre Schaeffer & Pierre Henry,presto-exact,https://www.prestomusic.com/classical/products/8784718--pierre-schaeffer-loeuvre-musicale,Presto Music,3 CDs,CD2 (Schaeffer-Henry oeuvres communes 1950-1953) includes Symphonie pour un homme seul; official INA-GRM edition
REC-122,Reflets,Ivo Malec,presto-exact,https://www.prestomusic.com/classical/products/9799313--archives-grm-celebrating-30-years,Presto Music,5 CDs,"Box-set tracklist verified on Presto page: includes Ivo Malec: Reflets (and Malec: Week-end). Fixed-media tape work, so the compilation carries the same 1961 GRM realization. Released 1st Aug 2025."
REC-127,Heterozygote,Luc Ferrari,presto-exact,https://www.prestomusic.com/classical/products/8776131--luc-ferrari-l-ouvre-electronique,Presto Music,10 CDs,inaGRM INAG6017-26 complete electronic works box (2025); Heterozygote confirmed in verified tracklist
REC-129,L'Oeil ecoute,Bernard Parmegiani,presto-exact,https://www.prestomusic.com/classical/products/8776142--bernard-parmegiani-l-ouvre-musical-en-12-cd,Presto Music,12-CD box (~EUR 110 / USD 107),"Presto's work page for Parmegiani 'L'oeil ecoute' (classical/works/337694) lists exactly one recording: this complete-works box, i.e. the composer's own tape realization reissued. The standalone 1970 INA-GRM album is not sold separately."
REC-130,L'Experience acoustique,Francois Bayle,presto-alt,https://www.prestomusic.com/classical/products/8615887--francois-bayle-50-ans-dacousmatique,Presto Music,15 CDs,"Tracklist verified to include L'experience acoustique; composer's own INA-GRM edition but available only within the 15-CD complete box, no standalone album on Presto."
REC-132,Requiem,Michel Chion,direct,https://boomkat.com/products/requiem-db810a6d-ac46-48b9-8b98-ddb524379e45,Boomkat,LP,"No Recollection GRM / Portraits GRM Bandcamp edition exists (hint checked; recollectiongrm + portraitsgrm catalogues have no Chion Requiem). Boomkat stocks the INA-GRM vinyl reissue (2007 LP master), reported back in stock. Secondhand fallback: Discogs master 82994."
REC-133,Points,Ruth Anderson,presto-exact,https://www.prestomusic.com/classical/products/7993738--new-music-for-electronic-and-recorded-media,Presto Music,"CD, download (FLAC/ALAC/WAV/MP3)","Tracklist verified: Anderson, R: Points (5:32), Ruth Anderson. New World reissue of the CRI/1750 Arch anthology named in the reference. CD $18.25, download from $8.75."
REC-134,Red Bird,Trevor Wishart,direct,https://icrdistribution.bandcamp.com/album/red-bird-anticredos-voiceprints,ICR Distribution Bandcamp,2CD GBP 13 / digital GBP 8,ICR (Integrated Circuit Records) is the distributor named on trevorwishart.co.uk; Red Bird / Anticredos & Voiceprints 2CD (ICR 77) with only 2 CD copies remaining; Soundohm and All Night Flight copies sold out
REC-136,Erospheres,Francois Bayle,presto-exact,https://www.prestomusic.com/classical/products/8615887--francois-bayle-50-ans-dacousmatique,Presto Music,15 CDs,Official inaGRM box INAG6033-47; verified tracklist includes Erosphère (with Tremblement de terre très doux)
REC-137,Klang,Jonty Harrison,presto-alt,https://www.prestomusic.com/classical/products/7939852--klang-electroacoustic-collection-1,Presto Music,"CD, download (FLAC/MP3, digital booklet)",Jonty Harrison's Klang (9:02) confirmed as title track on tracklist. empreintes DIGITALes release not carried by Presto — same composer tape realization on a different album.
REC-138,Wind Chimes,Denis Smalley,direct,https://electrocd.com/en/album/2336-denis-smalley-impacts-interieurs,electrocd (empreintes DIGITALes),CD or lossless download,"Wind Chimes (1987) is track 5 on Impacts interieurs (IMED 0409, remastered 2004); download edition IMED 0409_NUM with 25-page PDF booklet is fulfilled via empreintesdigitales.bandcamp.com per the electrocd page"
REC-139,Voi(rex),Annette Vande Gorne,direct,https://electrocd.com/en/cat/imed_25196,electrocd (empreintes DIGITALes),CD / lossless download,"Correct work: Vande Gorne Vox Alia cycle, IMED 25196 (2025); official Bandcamp alternative empreintesdigitales.bandcamp.com/album/vox-alia; Leroux Voi(rex) has NO electrocd product page — only the artist page electrocd.com/en/artiste/leroux_ph lists the work; Leroux CD is Nocturne 'Voi(Rex) - Plus Loin - M' (discogs.com/release/7572573)"
REC-140,Presque rien No.1,Luc Ferrari,presto-exact,https://www.prestomusic.com/classical/products/8776131--luc-ferrari-l-ouvre-electronique,Presto Music,10 CDs,Tracklist verified: includes Presque rien n°1 ou le lever du jour au bord de la mer; official INA-GRM box of Ferrari's electronic works
REC-142,A Sound Map of the Hudson River,Annea Lockwood,direct,http://www.lovely.com/titles/cd2081.html,Lovely Music (label direct),"CD, USD 15.00",Label sells the CD directly (List USD 16.99 / Lovely price USD 15.00). NOT on lovelymusic.bandcamp.com (catalogue checked - no Lockwood); Forced Exposure listing is dead. Site is plain http (broken SSL) but live and ordering works.
REC-148,A Sound Map of the Danube,Annea Lockwood,direct,https://www.forcedexposure.com/Product.aspx?CatalogNo=lockwood-annea-a-sound-map-of-the-danube-3cd%2FLCD.2083CD,Forced Exposure,3CD,In stock $32.50 (Lovely Music LCD 2083; restocked 2023). Not on Lovely Music Bandcamp (checked); lovely.com own shop unreachable (SSL error). Also listed at Soundohm
REC-149,4 Rooms,Jacob Kirkegaard,direct,https://jacobkirkegaardreleases.bandcamp.com/album/4-rooms,Jacob Kirkegaard official Bandcamp,Digital (FLAC and more),"Artist's own Bandcamp carries the Touch catalogue (Tone 26, 2006). Touch catalogue page at touch33.net/catalogue/tone-26-jacob-kirkegaard-4-rooms.html for reference."
REC-150,Energy Field,Jana Winderen,direct,https://janawinderen.bandcamp.com/album/energy-field,Jana Winderen official Bandcamp (Touch TO:73),digital,Artist's own Bandcamp; lossless download available
REC-152,Five Electrical Walks,Christina Kubisch,direct,https://imprec.bandcamp.com/album/five-electrical-walks,Bandcamp (Important Records),digital,Official Important Records Bandcamp. CD (IMPREC167) also sold at importantrecords.com/products/imprec167.
REC-153,Swiss Mountain Transport Systems,Ernst Karel,direct,https://shop.gruenrekorder.de/?full#Gruen_091,Gruenrekorder label shop,digital,MP3/FLAC download via label's own shop (order link on release page gruenrekorder.de/?page_id=5552); CD edition of 500 sold out; no Bandcamp listing found
REC-154,Landscape in Metamorphoses,Budhaditya Chattopadhyay,direct,https://shop.gruenrekorder.de/?full#Gruen_057,Gruenrekorder shop,digital,"Label page (gruenrekorder.de/?page_id=301, cat. Gr 057) links this shop entry: MP3/FLAC available; original CD-R edition of 50 sold out."
REC-155,Sounds from Dangerous Places Vol.1,Peter Cusack,direct,https://petercusack2.bandcamp.com/album/sounds-from-dangerous-places-vol-1-chernobyl,Bandcamp (artist),FLAC/MP3 download,GBP 7+ digital; the ReR/Gruenrekorder book+2CD edition is sold out at Gruenrekorder and marked sold out on Bandcamp; ReR Megacorp still lists it (ReRPC3) but stock unverified; full 5-release Cusack discography GBP 22.75
REC-157,F.Guyana,Marc Namblard,direct,https://marcnamblard.bandcamp.com/album/fguyana,Bandcamp (Gruenrekorder),digital + CD,"Artist Bandcamp: digital €10+ at 24-bit/48kHz, includes F.Guyana part II. Physical CD (Gruen 175, 500 copies) ordered via gruenrekorder.de release page (page_id=16085) / shop.gruenrekorder.de."
REC-161,It's Gonna Rain,Steve Reich,presto-exact,https://www.prestomusic.com/classical/products/8109790--reich-early-works,Presto Music,download (FLAC/MP3),"It's Gonna Rain Parts I & II (1965, Reich tape) confirmed on tracklist, alongside Come Out / Piano Phase / Clapping Music — this is the hinted Nonesuch Early Works album (download only; no CD listed). Also in Steve Reich: Collected Works 26CD+DVD box (/products/9746628)."
REC-162,Come Out,Steve Reich,presto-exact,https://www.prestomusic.com/classical/products/8109790--reich-early-works,Presto Music,download,"Tracklist verified: contains Come Out (13:09, Steve Reich tape) plus Piano Phase, Clapping Music, It's Gonna Rain. Download/streaming only, no physical; Come Out also in Steve Reich: Collected Works 26CD+DVD box (product 9746628)"
REC-163,I of IV,Pauline Oliveros,presto-exact,https://www.prestomusic.com/classical/products/8456133--new-sounds-in-electronic-music,Presto Music,"download only (Hi-Res+ 192kHz, Hi-Res 96kHz, FLAC, MP3)","Tracklist verified: Pauline Oliveros — I of IV (20:31), alongside Reich Come Out and Maxfield Night Music. Digital reissue of the original 1967 Odyssey album; also streamable on Presto."
REC-164,Poppy Nogood and the Phantom Band,Terry Riley,presto-exact,https://www.prestomusic.com/classical/products/9809846--terry-riley-the-columbia-recordings,Presto Music,4 CDs,Tracklist verified: CD2 track 2 is Poppy Nogood and the Phantom Band — the original 1969 CBS/Columbia recording; alt recording also on Presto: Bl!ndman 'Icons' (Warner 3CD) https://www.prestomusic.com/classical/products/9464869--icons
REC-166,No Pussyfooting,Robert Fripp & Brian Eno,direct,https://burningshed.com/Fripp_Eno-No_Pussyfooting-Vinyl,Burning Shed (official DGM/Panegyric store),200g vinyl GBP 23.99; CD GBP 10.50,DGMLP1 vinyl verified in stock; single-CD digipak GBP 10.50 also on Burning Shed's Panegyric Fripp page (burningshed.com/store/panegyric/fripp-panegyric); Bleep listing unavailable
REC-167,Strumming Music,Charlemagne Palestine,secondhand,https://www.discogs.com/release/9839026-Charlemagne-Palestine-Strumming-Music,Discogs,vinyl LP,"Aguirre Records 2017 reissue (SSH03, 1000 copies) sold out at aguirrerecords.com (€19.99) and out of stock at Soundohm; a-musik lists a used vg+ copy. Original 1974 Shandar LP is Discogs release 724980. Note: charlemagnepalestine1 Bandcamp 'Strumming Music for Piano, Harpsichord & Strings' is a different recording."
REC-168,Discreet Music,Brian Eno,presto-exact,https://www.prestomusic.com/jazz/products/9266670--discreet-music,Presto Music,Download (FLAC/MP3),"Decca 866 4935 digital reissue of the original 1975 album; tracklist verified (title piece + 3 Pachelbel variations); alt ensemble version also exists: Eno arr. Contact, Cantaloupe CA21114 (prestomusic.com/classical/products/8078905--eno-b-discreet-music)"
REC-171,Guitar Trio,Rhys Chatham,secondhand,https://www.discogs.com/release/700882-Rhys-Chatham-An-Angel-Moves-Too-Fast-To-See-Selected-Works-1971-1989,Discogs,3CD box,Box set contains Guitar Trio (1977); relaunched tableoftheelements.bandcamp.com carries only a subscriber-exclusive 6:45 Guitar Trio excerpt (album/guitar-trio-pt-1-minneapolis-excerpt); Soundohm listings for both the Angel box and Guitar Trio Is My Life 3CD (TOE-CD-813) verified OUT OF STOCK
REC-179,Ursonate,Kurt Schwitters,presto-exact,https://www.prestomusic.com/classical/products/7977034--schwitters-ursonate-for-two-voices-musical-environment,Presto Music,CD,"Per Ernst Schwitters this is Kurt Schwitters' own historic performance (claim disputed); out of stock at UK distributor but orderable. Alt modern recording by the Sprechbohrer trio on Wergo WER63162, CD or download: https://www.prestomusic.com/classical/products/8049838--schwitters-ursonate-for-two-voices-musical-environment"
REC-181,Laut und Luise,Ernst Jandl,direct,https://www.jpc.de/jpcng/books/detail/-/art/ernst-jandl-laut-und-luise-hosi-anna/hnum/8090590,jpc.de,CD,"Current in-print edition is Der Audio Verlag's reissue of the Wergo 'laut und luise / hosi + anna' recording (ISBN 978-3-7424-0236-3, EUR 9.47); original Wergo CD only secondhand via Discogs."
REC-183,Junk permutation poems,Brion Gysin,presto-alt,https://www.prestomusic.com/classical/products/8022584--10-2-12-american-text-sound-pieces,Presto Music,Download only (FLAC/MP3),"Tracklist verified: contains Brion Gysin performing his permutation poem Come to Free the Words (3:28), but not Junk. Only Gysin recording on Presto; no Sub Rosa Gysin titles in their Sub Rosa catalogue."
REC-185,Verbal Brainwash,Ake Hodell,direct,https://fylkingen.se/en/shop/verbal-brainwash-and-other-works,Fylkingen (label shop),3CD box / digital,Label's own shop page; official Bandcamp alternative fylkingen.bandcamp.com/album/verbal-brainwash-other-works (FYCD 1018 3xCD digipak); Soundohm also lists the box
REC-186,Stripsody,Cathy Berberian,presto-exact,https://www.prestomusic.com/classical/products/7977033--magnificathy,Presto Music,Download FLAC/MP3; streaming,"Wergo WER60054-50, Berberian (soprano) / Bruno Canino; verified tracklist includes Stripsody (4:33); also on 'Songs Cathy Sang' Erato (products/9786627)"
REC-187,Just,Charles Amirkhanian,presto-exact,https://www.prestomusic.com/classical/products/8022584--10-2-12-american-text-sound-pieces,Presto Music,download (FLAC/MP3),Amirkhanian: Just (4:30) confirmed on tracklist. Other Minds reissue of the original 1750 Arch LP that first carried Just — closest match to the label hint.
